shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
2,53.479918,-2.233591,9,0.0028500079939164607
2,53.480045,-2.233729,10,0.0030375526552633043
2,53.480585,-2.234269,11,0.003801227978945382
2,53.480705,-2.234605,12,0.0041580136288822045
2,53.480675,-2.234942,13,0.004496346305400696
2,53.480135,-2.235956,14,0.005645170051673459
2,53.48009,-2.236016,15,0.005720170051673462
2,53.479897,-2.23632,16,0.00608026031813258
2,53.479601,-2.236784,17,0.0066306347361420595
2,53.47944,-2.237037,18,0.006930518046784266
2,53.479175,-2.237589,19,0.007542832508477981
2,53.479112,-2.237671,20,0.007646239471491667
2,53.479048,-2.237755,21,0.0077518425017521365
2,53.478888,-2.237976,22,0.008024681281987727
2,53.478764,-2.238163,23,0.008249058197021047
2,53.478567,-2.238429,24,0.008580064239261874
2,53.478461,-2.238589,25,0.008771991308741534
2,53.478294,-2.238858,26,0.009088614112723634
2,53.478142,-2.239128,27,0.009398459235325193
2,53.478035,-2.239326,28,0.009623521448946284
2,53.477971,-2.239344,29,0.009690004529502394
2,53.477906,-2.239532,30,0.009888924111243206
2,53.477754,-2.239785,31,0.010184073226098555
2,53.477538,-2.240145,32,0.01060390176252479
2,53.47678,-2.241391,33,0.012062352995856685
2,53.476392,-2.242052,34,0.012828815649872366
2,53.476275,-2.242202,35,0.013019049716219437
2,53.476176,-2.242533,36,0.013364537776794335
2,53.476248,-2.242594,37,0.013458904084337937
2,53.476463,-2.242776,38,0.013740593629763202
2,53.476642,-2.242942,39,0.013984718597758081
2,53.476911,-2.24317,40,0.014337344461814514
2,53.476956,-2.243227,41,0.014409966772436
2,53.476973,-2.24325,42,0.014438567471728064
2,53.477386,-2.243866,43,0.015180204175243607
2,53.47745,-2.244015,44,0.015342367672983736
2,53.477513,-2.244163,45,0.015503218535587874
2,53.477718,-2.244776,46,0.016149588398747063
2,53.477768,-2.245153,47,0.016529889595168632
2,53.477802,-2.245415,48,0.01679408649144078
2,53.477814,-2.245526,49,0.016905733255836886
2,53.477848,-2.245787,50,0.017168938498945747
2,53.477894,-2.246204,51,0.01758846799731251
2,53.477947,-2.246671,52,0.01805846586964825
2,53.478035,-2.247395,53,0.01878779432788883
2,53.478115,-2.248028,54,0.019425829593372475
2,53.478186,-2.248601,55,0.020003211615953226
2,53.478318,-2.249566,56,0.020977197755485413
2,53.478425,-2.250125,57,0.02154634624226188
2,53.4787,-2.251829,58,0.02327239403997784
2,53.478931,-2.253156,59,0.024619349867019146
2,53.47902,-2.253699,60,0.025169595266817425
2,53.479055,-2.253895,61,0.025368695743964585
2,53.479118,-2.254227,62,0.025706620291755657
2,53.479138,-2.254281,63,0.025764205011950946
2,53.479185,-2.254463,64,0.02595217575435541
2,53.479234,-2.254465,65,0.02600121655369346
2,53.479267,-2.254522,66,0.026067080048894714
2,53.479348,-2.254604,67,0.026182340623247948
2,53.479427,-2.254759,68,0.02635631188524225
